tar_lum,mat_lum,obs,background
89,58.51,sub4,homogeneous
60,42.023333333333326,sub4,homogeneous
60,43.16333333333333,sub4,homogeneous
199,263.2666666666667,sub4,homogeneous
25,9.962333333333332,sub4,homogeneous
120,91.99,sub4,homogeneous
242,259.8333333333333,sub4,homogeneous
199,236.6333333333333,sub4,homogeneous
312,354.1,sub4,homogeneous
281,354.1,sub4,homogeneous
89,86.86666666666667,sub4,homogeneous
199,246.5666666666667,sub4,homogeneous
199,277.6333333333334,sub4,homogeneous
242,329.8,sub4,homogeneous
242,314.2,sub4,homogeneous
25,12.003333333333334,sub4,homogeneous
40,15.56333333333333,sub4,homogeneous
40,21.16,sub4,homogeneous
120,88.75333333333333,sub4,homogeneous
155,139.7666666666667,sub4,homogeneous
312,358.2666666666666,sub4,homogeneous
312,384.2,sub4,homogeneous
281,349.9333333333333,sub4,homogeneous
199,281.1666666666667,sub4,homogeneous
40,14.923333333333332,sub4,homogeneous
281,346.6666666666667,sub4,homogeneous
155,121.8666666666667,sub4,homogeneous
281,370.76666666666677,sub4,homogeneous
281,314.2,sub4,homogeneous
242,281.1666666666667,sub4,homogeneous
60,44.39000000000001,sub4,homogeneous
89,70.22000000000001,sub4,homogeneous
60,44.39000000000001,sub4,homogeneous
120,105.66666666666669,sub4,homogeneous
120,111.36666666666669,sub4,homogeneous
155,164.3,sub4,homogeneous
89,64.18,sub4,homogeneous
312,409.6333333333334,sub4,homogeneous
199,284.5333333333333,sub4,homogeneous
281,379.2666666666666,sub4,homogeneous
120,95.81666666666663,sub4,homogeneous
40,17.533333333333335,sub4,homogeneous
25,7.2623333333333315,sub4,homogeneous
89,67.19333333333333,sub4,homogeneous
312,418.6666666666666,sub4,homogeneous
242,346.6666666666667,sub4,homogeneous
155,135.3,sub4,homogeneous
89,72.01000000000002,sub4,homogeneous
281,333.8666666666666,sub4,homogeneous
40,25.16,sub4,homogeneous
120,109.46666666666664,sub4,homogeneous
199,266.7333333333333,sub4,homogeneous
89,53.00333333333334,sub4,homogeneous
60,37.603333333333325,sub4,homogeneous
60,45.52,sub4,homogeneous
155,135.3,sub4,homogeneous
40,19.65333333333333,sub4,homogeneous
242,288.63333333333327,sub4,homogeneous
120,115.7333333333333,sub4,homogeneous
312,414.9666666666666,sub4,homogeneous
281,388.23333333333323,sub4,homogeneous
312,392.3,sub4,homogeneous
242,346.6666666666667,sub4,homogeneous
60,25.16,sub4,homogeneous
60,38.636666666666656,sub4,homogeneous
312,358.2666666666666,sub4,homogeneous
40,18.25333333333333,sub4,homogeneous
25,10.446666666666669,sub4,homogeneous
155,135.3,sub4,homogeneous
155,146.9333333333333,sub4,homogeneous
120,107.36666666666669,sub4,homogeneous
60,47.95,sub4,homogeneous
155,146.9333333333333,sub4,homogeneous
89,61.28666666666666,sub4,homogeneous
40,21.16,sub4,homogeneous
199,263.2666666666667,sub4,homogeneous
155,132.8,sub4,homogeneous
40,22.693333333333328,sub4,homogeneous
89,67.19333333333333,sub4,homogeneous
281,388.23333333333323,sub4,homogeneous
312,414.9666666666666,sub4,homogeneous
120,107.36666666666669,sub4,homogeneous
242,342.40000000000003,sub4,homogeneous
25,10.956666666666669,sub4,homogeneous
242,349.9333333333333,sub4,homogeneous
89,70.22000000000001,sub4,homogeneous
